RECV_CPLT_DM,geometry,T,X,Y
2021-01-01 13:00:00,POINT (234583.99089114324 313824.28609533235),0.0,234583.99089114324,313824.28609533235
2021-01-03 18:00:00,POINT (236327.93792544428 316034.74761911714),2.0,236327.93792544428,316034.74761911714
2021-01-04 09:00:00,POINT (240145.1074041444 315535.5956667239),3.0,240145.1074041444,315535.5956667239
2021-01-04 09:00:00,POINT (236327.93792544428 316034.74761911714),3.0,236327.93792544428,316034.74761911714
2021-01-04 10:00:00,POINT (236327.93792544428 316034.74761911714),3.0,236327.93792544428,316034.74761911714
2021-01-04 10:00:00,POINT (236327.93792544428 316034.74761911714),3.0,236327.93792544428,316034.74761911714
2021-01-04 11:00:00,POINT (235367.30421750943 313470.1246619766),3.0,235367.30421750943,313470.1246619766
2021-01-04 11:00:00,POINT (235391.57464690888 326786.6970976836),3.0,235391.57464690888,326786.6970976836
2021-01-04 12:00:00,POINT (236327.93792544428 316034.74761911714),3.0,236327.93792544428,316034.74761911714
2021-01-04 13:00:00,POINT (231988.92486324406 318284.50292772334),3.0,231988.92486324406,318284.50292772334
2021-01-04 13:00:00,POINT (236327.93792544428 316034.74761911714),3.0,236327.93792544428,316034.74761911714
2021-01-04 13:00:00,POINT (236327.93792544428 316034.74761911714),3.0,236327.93792544428,316034.74761911714
2021-01-04 14:00:00,POINT (234563.84242831887 313765.0602266182),3.0,234563.84242831887,313765.0602266182
2021-01-04 15:00:00,POINT (237304.3582597727 315804.7828749991),3.0,237304.3582597727,315804.7828749991
2021-01-04 17:00:00,POINT (228178.85816446162 321523.8030475528),3.0,228178.85816446162,321523.8030475528
2021-01-05 10:00:00,POINT (235384.7270029236 326060.2756504492),4.0,235384.7270029236,326060.2756504492
2021-01-05 10:00:00,POINT (239139.86154648362 313921.0131563471),4.0,239139.86154648362,313921.0131563471
2021-01-05 12:00:00,POINT (236327.93792544428 316034.74761911714),4.0,236327.93792544428,316034.74761911714
2021-01-05 13:00:00,POINT (237944.96473655594 314377.95605799876),4.0,237944.96473655594,314377.95605799876
2021-01-05 16:00:00,POINT (228628.48149625078 320829.95196757035),4.0,228628.48149625078,320829.95196757035
2021-01-05 17:00:00,POINT (226960.26679559465 344373.69665171544),4.0,226960.26679559465,344373.69665171544
2021-01-05 17:00:00,POINT (235640.42182730872 319845.02800621896),4.0,235640.42182730872,319845.02800621896
2021-01-05 20:00:00,POINT (238416.00921460695 327573.9139648036),4.0,238416.00921460695,327573.9139648036
2021-01-05 20:00:00,POINT (232524.59660267792 317602.5423173859),4.0,232524.59660267792,317602.5423173859
2021-01-06 09:00:00,POINT (234039.33895311935 319689.67362587247),5.0,234039.33895311935,319689.67362587247
2021-01-06 11:00:00,POINT (236738.57843482177 313979.7205428499),5.0,236738.57843482177,313979.7205428499
2021-01-06 13:00:00,POINT (229545.68931771658 311297.06488215947),5.0,229545.68931771658,311297.06488215947
2021-01-06 14:00:00,POINT (234583.99089114324 313824.28609533235),5.0,234583.99089114324,313824.28609533235
2021-01-06 14:00:00,POINT (231734.90462051606 321083.12579344097),5.0,231734.90462051606,321083.12579344097
2021-01-06 15:00:00,POINT (237491.72894554335 315928.54298716615),5.0,237491.72894554335,315928.54298716615
2021-01-06 16:00:00,POINT (229196.5874004371 320119.8773766041),5.0,229196.5874004371,320119.8773766041
2021-01-07 07:00:00,POINT (236327.93792544428 316034.74761911714),6.0,236327.93792544428,316034.74761911714
2021-01-07 08:00:00,POINT (232050.03802839393 314954.20000368153),6.0,232050.03802839393,314954.20000368153
2021-01-07 10:00:00,POINT (236327.93792544428 316034.74761911714),6.0,236327.93792544428,316034.74761911714
2021-01-07 10:00:00,POINT (236932.47235383466 318004.25008182775),6.0,236932.47235383466,318004.25008182775
2021-01-07 10:00:00,POINT (230855.03478908975 316343.90550237114),6.0,230855.03478908975,316343.90550237114
2021-01-07 10:00:00,POINT (236327.93792544428 316034.74761911714),6.0,236327.93792544428,316034.74761911714
2021-01-07 10:00:00,POINT (231325.2106486217 321163.52962656214),6.0,231325.2106486217,321163.52962656214
2021-01-07 10:00:00,POINT (236327.93792544428 316034.74761911714),6.0,236327.93792544428,316034.74761911714
2021-01-07 10:00:00,POINT (236327.93792544428 316034.74761911714),6.0,236327.93792544428,316034.74761911714
2021-01-07 11:00:00,POINT (236327.93792544428 316034.74761911714),6.0,236327.93792544428,316034.74761911714
2021-01-07 11:00:00,POINT (231306.67279762827 322444.9255073981),6.0,231306.67279762827,322444.9255073981
2021-01-07 11:00:00,POINT (228788.1585324569 319353.8327338754),6.0,228788.1585324569,319353.8327338754
2021-01-07 11:00:00,POINT (234016.50231303772 311291.88205802016),6.0,234016.50231303772,311291.88205802016
2021-01-07 11:00:00,POINT (236483.26385071778 320311.69923029933),6.0,236483.26385071778,320311.69923029933
2021-01-07 12:00:00,POINT (238621.0112880646 315468.8694149287),6.0,238621.0112880646,315468.8694149287
2021-01-07 13:00:00,POINT (240043.37813786347 317251.25795881473),6.0,240043.37813786347,317251.25795881473
2021-01-07 13:00:00,POINT (239579.25694864747 316206.0453024659),6.0,239579.25694864747,316206.0453024659
